ItemID,views,n_users,TV Series,percentage
0,20,19,False,-1
1,38,35,False,-1
2,27,26,True,4.945054945054945
3,44,41,False,-1
4,43,41,False,-1
5,607,522,False,-1
6,364,295,False,-1
7,200,176,False,-1
8,32,32,False,-1
9,60,56,False,-1
10,33,31,True,35.483870967741936
11,40,34,False,-1
12,17,17,False,-1
13,38,35,False,-1
14,114,101,False,-1
15,27,27,False,-1
16,10,10,True,33.333333333333336
17,18,17,False,-1
18,17,17,True,50.0
19,229,196,False,-1
20,54350,4676,True,83.02273005010387
21,48204,7382,True,24.184954393569946
22,33398,5366,False,-1
23,19078,3703,False,-1
24,8704,1521,False,-1
25,27984,3789,False,-1
26,502,186,True,89.96415770609319
27,6120,1297,True,157.28604471858134
28,12908,1685,True,36.47873392680514
29,10607,2977,False,-1
30,18,18,False,-1
31,21,21,True,9.090909090909092
32,17,17,False,-1
33,1187,513,False,-1
34,14,14,False,-1
35,789,480,True,82.1875
36,278,178,True,52.059925093632955
37,239,143,True,6.428187197417967
38,221,143,True,5.723905723905724
39,206,144,False,-1
40,22,22,True,7.142857142857143
41,187,118,False,-1
42,164,125,False,-1
43,215,137,True,12.071869736103313
44,261,199,False,-1
45,228,113,False,-1
46,11,11,True,3.225806451612903
47,282,196,True,47.95918367346939
48,82,62,True,44.086021505376344
49,91,70,True,11.818181818181818
50,705,452,False,-1
51,15,15,True,11.11111111111111
52,1341,702,True,21.225071225071225
53,36394,3607,False,-1
54,5787,1032,False,-1
55,9625,1216,False,-1
56,47807,4631,False,-1
57,25,25,True,9.090909090909092
58,18683,2407,True,258.73147763467665
59,23,23,False,-1
60,17441,2206,False,-1
61,13121,1897,False,-1
62,13291,1622,True,74.49276986884878
63,3889,293,False,-1
64,23329,819,False,-1
65,8431,252,False,-1
66,22,22,False,-1
67,32545,839,False,-1
68,28145,585,False,-1
69,2415,332,True,34.63855421686747
70,394,90,True,145.92592592592592
71,82735,1393,True,539.9399595379494
72,1795,193,False,-1
73,8081,413,True,652.2195318805489
74,4899,175,False,-1
75,19926,817,True,221.72026260153555
76,4308,155,False,-1
77,13572,739,True,87.45408853663251
78,9,9,False,-1
79,16183,573,False,-1
80,40003,1465,True,1365.2901023890786
81,6403,334,False,-1
82,4521,354,True,638.5593220338983
83,3323,202,True,117.5035360678925
84,7679,689,False,-1
85,15,15,False,-1
86,26,26,True,16.666666666666668
87,50,20,True,10.0
88,4277,269,True,227.1375464684015
89,13,13,False,-1
90,4937,414,False,-1
91,2739,159,False,-1
92,2586,212,False,-1
93,1145,917,False,-1
94,18,18,True,1.7241379310344827
95,1883,1086,False,-1
96,22,22,False,-1
97,320,270,True,4.3895747599451305
98,350,321,False,-1
99,548,371,False,-1
100,409,377,False,-1
101,296,267,False,-1
102,1181,767,False,-1
103,19,19,False,-1
104,18,18,True,33.333333333333336
105,1250,1077,False,-1
106,701,580,True,17.266009852216747
107,518,447,True,8.277404921700224
108,439,378,False,-1
109,666,597,False,-1
110,252,169,True,74.55621301775147
111,18,18,True,3.8461538461538463
112,633,447,False,-1
113,1144,764,False,-1
114,25,24,False,-1
115,823,476,False,-1
116,13,12,True,15.476190476190476
117,677,452,True,74.88938053097345
118,98,90,False,-1
119,10,10,True,1.5873015873015872
120,19,19,True,33.333333333333336
121,3237,1594,False,-1
122,23,22,False,-1
123,336,269,False,-1
124,12128,3138,True,128.82940301678352
125,147,42,False,-1
126,4679,2014,False,-1
127,585,487,False,-1
128,222,200,False,-1
129,446,319,False,-1
130,747,624,True,5.441433566433567
131,16,16,False,-1
132,356,299,False,-1
133,258,75,False,-1
134,42,35,False,-1
135,109,85,False,-1
136,61,39,False,-1
137,34,21,True,7.0393374741200825
138,258,60,False,-1
139,160,66,False,-1
140,145,57,True,9.421702404158545
141,837,139,False,-1
142,302,67,False,-1
143,697,132,False,-1
144,363,79,False,-1
145,698,533,False,-1
146,17,17,False,-1
147,426,380,False,-1
148,145,135,False,-1
149,732,405,False,-1
150,26,26,False,-1
151,13,13,False,-1
152,43,36,False,-1
153,585,209,False,-1
154,947,296,True,106.64414414414415
155,708,241,False,-1
156,49,38,False,-1
157,17,17,False,-1
158,32,32,True,3.7037037037037037
159,69,60,False,-1
160,62,55,False,-1
161,34,32,True,35.416666666666664
162,43,35,True,4.550264550264551
163,105,93,True,5.376344086021505
164,17,16,False,-1
165,157,137,False,-1
166,305,249,True,13.60999553770638
167,155,137,False,-1
168,105,88,False,-1
